State,Longitude,Latitude,Population
Andaman and Nicobar Islands,92.90425736,11.84545493,380581
Andhra Pradesh,79.97385121,16.55779593,49577103
Arunachal Pradesh,94.66231412,27.72904985,1383727
Assam,92.68568626,26.33608583,31205576
Bihar,85.62534127,25.76630327,104099452
Chandigarh,76.75872466,30.7426,1055450
Chhattisgarh,82.12782675,21.55195971,25545198
Dadra and Nagar Haveli and Daman and Diu,73.09454961,20.21513217,585764
Delhi,77.12804518,28.6459443,16787941
Goa,73.86574065,15.39422503,1458545
Gujarat,72.18750518,22.37819881,60439692
Haryana,76.49894522,29.22950775,25351462
Himachal Pradesh,76.85663275,31.65320769,6864602
Jammu and Kashmir,75.00794343,33.63368522,12267032
Jharkhand,85.87307896,23.75447658,32988134
Karnataka,76.24192278,14.38764631,61095297
Kerala,76.22961611,10.29973454,33406061
Ladakh,77.5619,34.2268,274000
Lakshadweep,72.82992744,10.43639053,64473
Madhya Pradesh,78.11342801,23.63102694,72626809
Maharashtra,75.32262084,19.37025339,112374333
Manipur,93.85297165,24.71839551,2570390
Meghalaya,91.23060136,25.4787615,2966889
Mizoram,92.82329685,23.46017562,1097206
Nagaland,94.3705422,26.10100802,1978502
Odisha,85.00227945,20.53480935,41974219
Puducherry,79.71055403,11.87026029,1247953
Punjab,75.4575137,30.9230441,27743338
Rajasthan,74.83894799,26.47392242,6854837
Sikkim,88.50779712,27.34002317,610577
Tamil Nadu,78.74296176,11.12851211,72147030
Telangana,79.0193,18.1124,35003674
Tripura,91.65250205,23.7075333,3673917
Uttar Pradesh,80.67263981,27.05221059,199812341
Uttaranchal,78.88461124,29.93055466,10086292
West Bengal,88.15177428,23.40189534,91276115
Uttarakhand,79.0193,30.0668,10086292
